
title	year	journal	issn	volume	issue	pages	authors	language	abstract	doi	keywords	orig_abstract	orig_index	T2_H2	T2_Spec	T2_H3	T2_H4	T2_H5	T2_H7	T3_H3	T3_H2	T3_Spec	T3_H4	T3_H5	T3_H6	T4_H5	T4_H4	T4_H6	T5_Spec	T5_H6	T5_H7	T2_H9	Tx_H9
Substance use is associated with reduced devaluation sensitivity.	2019	"Cognitive, Affective & Behavioral Neuroscience"	1530-7026	19	1	40-55	"Byrne, Kaileigh A; Otto, A. Ross; Pang, Bo; Patrick, Christopher J; Worthy, Darrell A"	English	"substance use has been linked to impairments in reward processing and decision-making, yet empirical research on the relationship between substance use and devaluation of reward in humans is limited. we report findings from two studies that tested whether individual differences in substance use behavior predicted reward learning strategies and devaluation sensitivity in a nonclinical sample. participants in experiment 1 (n = 66) and experiment 2 (n = 91) completed subscales of the externalizing spectrum inventory and then performed a two-stage reinforcement learning task that included a devaluation procedure. spontaneous eye blink rate was used as an indirect proxy for dopamine functioning. in experiment 1, correlational analysis revealed a negative relationship between substance use and devaluation sensitivity. in experiment 2, regression modeling revealed that while spontaneous eyeblink rate moderated the relationship between substance use and reward learning strategies, substance use alone was related to devaluation sensitivity. these results suggest that once reward-action associations are established during reinforcement learning, substance use predicted reduced sensitivity to devaluation independently of variation in eyeblink rate. thus, substance use is not only related to increased habit formation but also to difficulty disengaging from learned habits. implications for the role of the dopaminergic system in habitual responding in individuals with substance use problems are discussed."	10.3758/s13415-018-0638-9	*Rewards; *Decision Making; *Drug Usage; *Habits	"Substance use has been linked to impairments in reward processing and decision-making, yet empirical research on the relationship between substance use and devaluation of reward in humans is limited. We report findings from two studies that tested whether individual differences in substance use behavior predicted reward learning strategies and devaluation sensitivity in a nonclinical sample. Participants in Experiment 1 (N = 66) and Experiment 2 (N = 91) completed subscales of the Externalizing Spectrum Inventory and then performed a two-stage reinforcement learning task that included a devaluation procedure. Spontaneous eye blink rate was used as an indirect proxy for dopamine functioning. In Experiment 1, correlational analysis revealed a negative relationship between substance use and devaluation sensitivity. In Experiment 2, regression modeling revealed that while spontaneous eyeblink rate moderated the relationship between substance use and reward learning strategies, substance use alone was related to devaluation sensitivity. These results suggest that once reward-action associations are established during reinforcement learning, substance use predicted reduced sensitivity to devaluation independently of variation in eyeblink rate. Thus, substance use is not only related to increased habit formation but also to difficulty disengaging from learned habits. Implications for the role of the dopaminergic system in habitual responding in individuals with substance use problems are discussed. (PsycInfo Database Record (c) 2021 APA, all rights reserved)"	333	0	1	2	2	2	2	0	0	1	0	4	4	1	1	0	0	4	1	4	7
Differences in self-reported decision-making styles in stimulant-dependent and opiate-dependent individuals.	2011	Psychiatry Research	0165-1781	186	3-Feb	437-440	"Gorodetzky, Hadas; Sahakian, Barbara J; Robbins, Trevor W; Ersche, Karen D"	English	"[correction notice: an erratum for this article was reported in vol 188(1) of psychiatry research (see record 2011-11938-028). there was an error in the 1st paragraph of the it should read as follows: ""however, the type of the outcome seems to shape cocaine users' decision-making strategies, i.e. in situations that require decisions on real monetary rewards, cocaine users make less risky decisions than in situations that involve hypothetical outcomes (vadhan et al., 2009).""] in light of the growing evidence of altered decision-making in addiction we assessed decision-making styles in drug-dependent individuals using the melbourne decision-making questionnaire (mdmq). consistent with the literature on laboratory tests of decision-making, we found that stimulant users reported less competent and more maladaptive decision-making styles compared with controls."	10.1016/j.psychres.2010.07.024	*Decision Making; *Opiates; *Drug Addiction; *Drug Dependency; Stimulation	"[Correction Notice: An erratum for this article was reported in Vol 188(1) of Psychiatry Research (see record 2011-11938-028). There was an error in the 1st paragraph of the discussion. It should read as follows: ""However, the type of the outcome seems to shape cocaine users' decision-making strategies, i.e. in situations that require decisions on real monetary rewards, cocaine users make less risky decisions than in situations that involve hypothetical outcomes (Vadhan et al., 2009).""] In light of the growing evidence of altered decision-making in addiction we assessed decision-making styles in drug-dependent individuals using the Melbourne Decision-Making Questionnaire (MDMQ). Consistent with the literature on laboratory tests of decision-making, we found that stimulant users reported less competent and more maladaptive decision-making styles compared with controls. (PsycInfo Database Record (c) 2021 APA, all rights reserved)"	778	0	0	0	1	1	0	0	0	3	1	0	5	0	0	2	1	2	2	5	3
"Effect of heroin use on changes of brain functions as measured by functional magnetic resonance imaging, a systematic review."	2017	Journal of Addictive Diseases	1055-0887	36	2	105-116	"Fareed, Ayman; Kim, Jungjin; Ketchen, Bethany; Kwak, Woo Jin; Wang, Danzhao; Shongo-Hiango, Hilaire; Drexler, Karen"	English	"in this study the authors focus on reviewing imaging studies that used resting state functional magnetic resonance imaging for individuals with a history of heroin use. this review study compiled existing research addressing the effect of heroin use on decision making by reviewing available functional neuroimaging data. systematic review of the literatures using the preferred reporting items for systematic reviews and meta-analyses checklist. eligible articles were retrieved through a computer-based medline and psycinfo search from 1960 to december 2015 using the major medical subject headings ""heroin, fmri"" (all fields). only english language was included. thirty-seven articles were initially included in the review. sixteen were excluded because they did not meet the inclusion criteria. the results of 21 articles that met all the inclusion criteria were presented. based on the 21 studies included in the current review, there is evidence that heroin use may have a direct and damaging effect on certain brain functions and that these changes may be associated with impulsive and unhealthy decision making. from the review of these studies, the authors understand that a longer duration of heroin use may be associated with more damaging effects on brain functions. the authors also understand that these brain changes could last long after abstinence, which may increase the risk of relapse to heroin use. more research is needed to create a biomarker map for patients with heroin use disorder that can be used to guide and assess response to treatment."	10.1080/10550887.2017.1280898	Decision Making; *Functional Magnetic Resonance Imaging; *Heroin Use Disorder; *Executive Function; *Brain	"In this study the authors focus on reviewing imaging studies that used resting state functional magnetic resonance imaging for individuals with a history of heroin use. This review study compiled existing research addressing the effect of heroin use on decision making by reviewing available functional neuroimaging data. Systematic review of the literatures using the Preferred Reporting Items for Systematic Reviews and Meta-Analyses checklist. Eligible articles were retrieved through a computer-based MEDLINE and PsycINFO search from 1960 to December 2015 using the major medical subject headings ""heroin, fMRI"" (all fields). Only English language was included. Thirty-seven articles were initially included in the review. Sixteen were excluded because they did not meet the inclusion criteria. The results of 21 articles that met all the inclusion criteria were presented. Based on the 21 studies included in the current review, there is evidence that heroin use may have a direct and damaging effect on certain brain functions and that these changes may be associated with impulsive and unhealthy decision making. From the review of these studies, the authors understand that a longer duration of heroin use may be associated with more damaging effects on brain functions. The authors also understand that these brain changes could last long after abstinence, which may increase the risk of relapse to heroin use. More research is needed to create a biomarker map for patients with heroin use disorder that can be used to guide and assess response to treatment. (PsycInfo Database Record (c) 2022 APA, all rights reserved)"	414	0	0	0	0	4	4	0	0	3	0	3	3	1	1	0	3	1	0	1	1
Cumulative gains enhance striatal response to reward opportunities in alcohol-dependent patients.	2015	Addiction Biology	1355-6215	20	3	580-593	"Gilman, Jodi M; Smith, Ashley R; Bjork, James M; Ramchandani, Vijay A; Momenan, Reza; Hommer, Daniel W"	English	"substance use disorder is characterized by a transition from volitional to compulsive responding for drug reward. a possible explanation for this transition may be that alcohol-dependent patients (adp) show a general propensity for a history of rewarded instrumental responses, and these rewarded responses may boost the activation of motivational neurocircuitry for additional reward. brain imaging studies of decision-making have demonstrated that adp relative to controls (con) often show altered neural activation in response to anticipating and receiving rewards, but the majority of studies have not investigated how past performance affects activation. a potential exists for adp to show increased sensitivity to reward as a function of reward delivery history. in the current study, we used functional magnetic resonance imaging to investigate the neural correlates of risky decision-making in adp (n = 18) and con (n = 18) while they played a two-choice monetary risk-taking game. in addition to investigating general neural recruitment by risky decision-making, we also modeled each participant's running total of monetary earnings in order to determine areas of activation that correlated with cumulative reward. we found that adp and con showed few differences in behavior or in mesolimbic activation by choice for, and receipt of, risky gains. however, when including a cumulative-earnings covariate, adp exhibited heightened striatal activation that correlated with total earnings during the choice event in the task. the heightened contextual sensitivity of striatal responses to cumulative earnings in adp may represent a general neurobiological affective substrate for development of automatized instrumental behavior."	10.1111/adb.12147	Rewards; *Decision Making; *Risk Taking; *Neural Networks; *Alcoholism; Basal Ganglia	"Substance use disorder is characterized by a transition from volitional to compulsive responding for drug reward. A possible explanation for this transition may be that alcohol-dependent patients (ADP) show a general propensity for a history of rewarded instrumental responses, and these rewarded responses may boost the activation of motivational neurocircuitry for additional reward. Brain imaging studies of decision-making have demonstrated that ADP relative to controls (CON) often show altered neural activation in response to anticipating and receiving rewards, but the majority of studies have not investigated how past performance affects activation. A potential exists for ADP to show increased sensitivity to reward as a function of reward delivery history. In the current study, we used functional magnetic resonance imaging to investigate the neural correlates of risky decision-making in ADP (n = 18) and CON (n = 18) while they played a two-choice monetary risk-taking game. In addition to investigating general neural recruitment by risky decision-making, we also modeled each participant's running total of monetary earnings in order to determine areas of activation that correlated with cumulative reward. We found that ADP and CON showed few differences in behavior or in mesolimbic activation by choice for, and receipt of, risky gains. However, when including a cumulative-earnings covariate, ADP exhibited heightened striatal activation that correlated with total earnings during the choice event in the task. The heightened contextual sensitivity of striatal responses to cumulative earnings in ADP may represent a general neurobiological affective substrate for development of automatized instrumental behavior. (PsycInfo Database Record (c) 2021 APA, all rights reserved)"	601	0	1	0	0	4	4	0	0	1	0	3	3	1	1	0	0	4	1	1	1
Decision-making in drug-dependent patients.	2011	Toma de decisiones en pacientes drogodependientes.	0214-4840	23	4	277-287	"Mogedas Valladares, Ana Isabel; Alameda Bailen, Jose Ramon"	Spanish	"the somatic marker hypothesis proposes that certain body signals guide decision-making processes in an adaptive direction. to see the influence of these markers on decision-making we used the iowa gambling task, through which several studies have shown impaired decision-making in drug-dependent patients. to assess the performance of a sample of drug-dependent patients in a task that is sensitive to the measurement of decision-making process, so as to see whether there are significant alterations, and to compare the performance of these patients with that of non-users (in the normal and inverted versions). method: the sample consisted of 66 people (33 addicts and 33 control participants). we used a semi-structured interview on socio-demographic variables and two versions of the ""cartas"" task, a computerised version of the iowa gambling task. result: significant differences were found between the control and experimental groups in execution of the normal task, but not of the inverted version. in total, 75.76% of the drug-dependent patients showed impaired task performance, as against 24.24% who performed it correctly. the results indicate the presence of alterations in the decision-making processes of drug-dependent patients, who did not perform as well as the control group. this may be due to difficulty in generating somatic states according to possible future consequences (myopia about the future) in patients addicted to drugs."	10.20882/adicciones.121	*Decision Making; *Performance; *Task Analysis; *Drug Addiction; *Drug Dependency	"Introduction: The somatic marker hypothesis proposes that certain body signals guide decision-making processes in an adaptive direction. To see the influence of these markers on decision-making we used the Iowa Gambling Task, through which several studies have shown impaired decision-making in drug-dependent patients. Objective: To assess the performance of a sample of drug-dependent patients in a task that is sensitive to the measurement of decision-making process, so as to see whether there are significant alterations, and to compare the performance of these patients with that of non-users (in the normal and inverted versions). Method: The sample consisted of 66 people (33 addicts and 33 control participants). We used a semi-structured interview on socio-demographic variables and two versions of the ""Cartas"" task, a computerised version of the Iowa Gambling Task. Result: Significant differences were found between the control and experimental groups in execution of the normal task, but not of the inverted version. In total, 75.76% of the drug-dependent patients showed impaired task performance, as against 24.24% who performed it correctly. Discussion: The results indicate the presence of alterations in the decision-making processes of drug-dependent patients, who did not perform as well as the control group. This may be due to difficulty in generating somatic states according to possible future consequences (myopia about the future) in patients addicted to drugs. (PsycInfo Database Record (c) 2022 APA, all rights reserved)"	752	0	0	0	0	0	5	0	0	3	0	3	3	0	0	1	1	2	2	2	3
Affective decision-making moderates the effects of automatic associations on alcohol use among drug offenders.	2017	The American Journal of Drug and Alcohol Abuse	0095-2990	43	5	534-544	"Cappelli, Christopher; Ames, Susan; Shono, Yusuke; Dust, Mark; Stacy, Alan"	English	"this study used a dual-process model of cognition in order to investigate the possible influence of automatic and deliberative processes on lifetime alcohol use in a sample of drug offenders. the objective was to determine if automatic/implicit associations in memory can exert an influence over an individual's alcohol use and if decision-making ability could potentially modify the influence of these associations. 168 participants completed a battery of cognitive tests measuring implicit alcohol associations in memory (verb generation) as well as their affective decision-making ability (iowa gambling task). structural equation modeling procedures were used to test the relationship between implicit associations, decision-making, and lifetime alcohol use. results revealed that among participants with lower levels of decision-making, implicit alcohol associations more strongly predicted higher lifetime alcohol use. conclusion: these findings provide further support for the interaction between a specific decision function and its influence over automatic processes in regulating alcohol use behavior in a risky population. understanding the interaction between automatic associations and decision processes may aid in developing more effective intervention components."	10.1080/00952990.2016.1216557	Cognition; *Decision Making; *Alcohol Treatment; *Alcohols	"Background: This study used a dual-process model of cognition in order to investigate the possible influence of automatic and deliberative processes on lifetime alcohol use in a sample of drug offenders. Objective: The objective was to determine if automatic/implicit associations in memory can exert an influence over an individual's alcohol use and if decision-making ability could potentially modify the influence of these associations. Methods: 168 participants completed a battery of cognitive tests measuring implicit alcohol associations in memory (verb generation) as well as their affective decision-making ability (Iowa Gambling Task). Structural equation modeling procedures were used to test the relationship between implicit associations, decision-making, and lifetime alcohol use. Results: Results revealed that among participants with lower levels of decision-making, implicit alcohol associations more strongly predicted higher lifetime alcohol use. Conclusion: These findings provide further support for the interaction between a specific decision function and its influence over automatic processes in regulating alcohol use behavior in a risky population. Understanding the interaction between automatic associations and decision processes may aid in developing more effective intervention components. (PsycInfo Database Record (c) 2021 APA, all rights reserved)"	425	0	0	0	0	4	4	0	0	3	0	3	3	1	1	0	3	1	0	1	6
A computational cognitive model of the Iowa Gambling Task for finely characterizing decision making in methamphetamine users	2022	EXPERT SYSTEMS WITH APPLICATIONS	0957-4174	205			"Serrano, JI; Iglesias, A; Woods, SP; Del Castillo, MD"	English	"conventional scores from the iowa gambling task (igt) have been used to assess decision making in a variety of disorders, including substance use. this study extends that work by examining a novel computational cognitive model of the igt that was hypothesized to capture fine-grained differences in decision-making styles in persons with recent methamphetamine use disorders. a total of 64 participants were evaluated in this study, which included individuals with lifetime methamphetamine dependence diagnoses, individuals with diagnoses of both methamphetamine and other substance dependence, and control participants with no histories of substance use disorders. participants were individually modeled performing the igt by adjusting the parameters of the computational model maiden-igt with an evolutionary strategy. the resultant models explained more than 80% of the participants' behavior. the common igt net score alone was not able to detect any inter-group differences. however, the modeling process yielded differentiated inter-group patterns of behavior extracted from the computational models. relative to control participants, methamphetamine users exhibited a lower estimation of the possible losses as well as the risk associated to the losses. in addition, multi-substance users showed a behavior pattern that affects the evaluation of losses and the risk associated with gains. maiden-igt computational models were more sensitive than traditional metrics to the risky decision making of persons with methamphetamine use disorders. these novel models raise plausible hypotheses about the nature of motivated behaviors in the context of substance use disorders."	10.1016/j.eswa.2022.117795	Computational cognitive modeling; Decision making; DEFICITS; Drug abuse; INDIVIDUALS; Iowa Gambling Task; LEARNING-MODELS; Methamphetamine; PERFORMANCE; SOMATIC MARKER HYPOTHESIS	"Background: Conventional scores from the Iowa Gambling Task (IGT) have been used to assess decision making in a variety of disorders, including substance use. This study extends that work by examining a novel computational cognitive model of the IGT that was hypothesized to capture fine-grained differences in decision-making styles in persons with recent methamphetamine use disorders. Methods: A total of 64 participants were evaluated in this study, which included individuals with lifetime methamphetamine dependence diagnoses, individuals with diagnoses of both methamphetamine and other substance dependence, and control participants with no histories of substance use disorders. Participants were individually modeled performing the IGT by adjusting the parameters of the computational model MAIDEN-IGT with an evolutionary strategy. Results: The resultant models explained more than 80% of the participants' behavior. The common IGT net score alone was not able to detect any inter-group differences. However, the modeling process yielded differentiated inter-group patterns of behavior extracted from the computational models. Relative to control participants, methamphetamine users exhibited a lower estimation of the possible losses as well as the risk associated to the losses. In addition, multi-substance users showed a behavior pattern that affects the evaluation of losses and the risk associated with gains. Conclusions: MAIDEN-IGT computational models were more sensitive than traditional metrics to the risky decision making of persons with methamphetamine use disorders. These novel models raise plausible hypotheses about the nature of motivated behaviors in the context of substance use disorders."	0	0	1	2	2	2	2	0	0	1	0	4	4	1	1	0	0	4	1	4	7
"How Working Memory and Reinforcement Learning Are Intertwined: A Cognitive, Neural, and Computational Perspective."	2022	Journal of Cognitive Neuroscience	0898929X	34	4	551-568	"Yoo, Aspen H.; Collins, Anne G. E."		"reinforcement learning and working memory are two core processes of human cognition and are often considered cognitively, neuroscientifically, and algorithmically distinct. here, we show that the brain networks that support them actually overlap significantly and that they are less distinct cognitive processes than often assumed. we review literature demonstrating the benefits of considering each process to explain properties of the other and highlight recent work investigating their more complex interactions. we discuss how future research in both computational and cognitive sciences can benefit from one another, suggesting that a key missing piece for artificial agents to learn to behave with more human-like efficiency is taking working memory's role in learning seriously. this review highlights the risks of neglecting the interplay between different processes when studying human behavior (in particular when considering individual differences). we emphasize the importance of investigating these dynamics to build a comprehensive understanding of human cognition."	10.1162/jocn_a_01808	REINFORCEMENT learning; HUMAN behavior; COGNITIVE science; LARGE-scale brain networks; SHORT-term memory	"Reinforcement learning and working memory are two core processes of human cognition and are often considered cognitively, neuroscientifically, and algorithmically distinct. Here, we show that the brain networks that support them actually overlap significantly and that they are less distinct cognitive processes than often assumed. We review literature demonstrating the benefits of considering each process to explain properties of the other and highlight recent work investigating their more complex interactions. We discuss how future research in both computational and cognitive sciences can benefit from one another, suggesting that a key missing piece for artificial agents to learn to behave with more human-like efficiency is taking working memory's role in learning seriously. This review highlights the risks of neglecting the interplay between different processes when studying human behavior (in particular when considering individual differences). We emphasize the importance of investigating these dynamics to build a comprehensive understanding of human cognition. [ABSTRACT FROM AUTHOR]"	1853	0	0	0	0	0	3	0	0	3	1	0	1	0	0	2	1	2	2	3	3
Neural Mechanisms of Human Decision-Making.	2021	"Cognitive, Affective & Behavioral Neuroscience"	1530-7026	21	1	35-57	"Herd, Seth; Krueger, Kai; Nair, Ananta; Mollick, Jessica; O'Reilly, Randall"		"we present a theory and neural network model of the neural mechanisms underlying human decision-making. we propose a detailed model of the interaction between brain regions, under a proposer-predictor-actor-critic_ _framework. this theory is based on detailed animal data and theories of action-selection. those theories are adapted to serial operation to bridge levels of analysis and explain human decision-making. task-relevant areas of cortex propose a candidate plan using fast, model-free, parallel neural computations. other areas of cortex and medial temporal lobe can then predict_ likely outcomes of that plan in this situation. this optional prediction- (or model-) based computation can produce better accuracy and generalization, at the expense of speed. next, linked regions of basal ganglia act_ to accept or reject the proposed plan based on its reward history in similar contexts. if that plan is rejected, the process repeats to consider a new option. the reward-prediction system acts as a critic_ to determine the value of the outcome relative to expectations and produce dopamine as a training signal for cortex and basal ganglia. by operating sequentially and hierarchically, the same mechanisms previously proposed for animal action-selection could explain the most complex human plans and decisions. we discuss explanations of model-based decisions, habitization, and risky behavior based on the computational model."	10.3758/s13415-020-00842-0		"We present a theory and neural network model of the neural mechanisms underlying human decision-making. We propose a detailed model of the interaction between brain regions, under a proposer-predictor-actor-critic_ _framework. This theory is based on detailed animal data and theories of action-selection. Those theories are adapted to serial operation to bridge levels of analysis and explain human decision-making. Task-relevant areas of cortex propose a candidate plan using fast, model-free, parallel neural computations. Other areas of cortex and medial temporal lobe can then predict_ likely outcomes of that plan in this situation. This optional prediction- (or model-) based computation can produce better accuracy and generalization, at the expense of speed. Next, linked regions of basal ganglia act_ to accept or reject the proposed plan based on its reward history in similar contexts. If that plan is rejected, the process repeats to consider a new option. The reward-prediction system acts as a critic_ to determine the value of the outcome relative to expectations and produce dopamine as a training signal for cortex and basal ganglia. By operating sequentially and hierarchically, the same mechanisms previously proposed for animal action-selection could explain the most complex human plans and decisions. We discuss explanations of model-based decisions, habitization, and risky behavior based on the computational model."	1901	0	0	0	0	0	3	0	0	3	1	0	1	0	0	2	1	2	2	3	3
Differences in decision-making as a function of drug of choice.	2018	"Pharmacology, Biochemistry and Behavior"	0091-3057	164	"Acheson, A., Robinson, J.L., Glahn, D.C., Lovallo, W.R., & Fox, P.T. (2009). Differential activation of the anterior cingulate cortex and caudate nucleus during a gambling simulation in persons with a family history of alcoholism: studies from the Oklahoma Family Health Patterns Project. Drug Alcohol Depend. 100, 17-23. https://pubmed.ncbi.nlm.nih.gov/19026496 https://dx.doi.org/10.1016/j.drugalcdep.2008.08.019 2009-00352-003."	118-124	"Gowin, Joshua L; Sloan, Matthew E; Ramchandani, Vijay A; Paulus, Martin P; Lane, Scott D"	English	"poor decision-making is a central feature of all substance use disorders (sud), but substances vary in the legal and health consequences associated with their use. for example, while the negative health consequences associated with cigarette smoking are often years away, the consequences of heroin abuse can be fatal in mere hours. it remains unclear if users of these substances show decision-making patterns that differ with the relative riskiness of their drug of choice. to address this question, we reviewed studies that compared decision-making of individuals using different substances. we focused on studies assessing two of the most commonly investigated decision-making processes-delay discounting and risk taking-and specifically focused on decision-making that involved selection between options for hypothetical monetary rewards. for delay discounting, we reviewed studies that assessed decisions regarding delayed or immediate monetary rewards, and for risk-taking we reviewed studies using the iowa gambling task. studies directly comparing different sud groups were limited in number and tended to compare alcohol or cocaine users to other substance users. overall, these studies do not support the hypothesis that decision-making differed by drug of choice. major limitations in the literature include failing to account for comorbid substance use and a lack of prospective longitudinal studies. due to these limitations, conclusions should be considered provisional. nonetheless, current findings suggest that these two facets of decision-making are similar across drugs of abuse."	10.1016/j.pbb.2017.09.007	Risk Taking; Alcohol Abuse; Nicotine; *Decision Making; *Cocaine; *Substance Use Disorder; *Cannabis Use; *Delay Discounting; Amphetamines	"Poor decision-making is a central feature of all substance use disorders (SUD), but substances vary in the legal and health consequences associated with their use. For example, while the negative health consequences associated with cigarette smoking are often years away, the consequences of heroin abuse can be fatal in mere hours. It remains unclear if users of these substances show decision-making patterns that differ with the relative riskiness of their drug of choice. To address this question, we reviewed studies that compared decision-making of individuals using different substances. We focused on studies assessing two of the most commonly investigated decision-making processes-delay discounting and risk taking-and specifically focused on decision-making that involved selection between options for hypothetical monetary rewards. For delay discounting, we reviewed studies that assessed decisions regarding delayed or immediate monetary rewards, and for risk-taking we reviewed studies using the Iowa Gambling Task. Studies directly comparing different SUD groups were limited in number and tended to compare alcohol or cocaine users to other substance users. Overall, these studies do not support the hypothesis that decision-making differed by drug of choice. Major limitations in the literature include failing to account for comorbid substance use and a lack of prospective longitudinal studies. Due to these limitations, conclusions should be considered provisional. Nonetheless, current findings suggest that these two facets of decision-making are similar across drugs of abuse. (PsycInfo Database Record (c) 2022 APA, all rights reserved)"	357	0	1	2	2	2	2	0	0	1	0	4	4	1	1	0	0	4	1	4	7
Temporal profile of fronto-striatal-limbic activity during implicit decisions in drug dependence.	2014	Drug and Alcohol Dependence	0376-8716	136	"Bechara, A., Damasio, A.R., Damasio, H., & Anderson, S.W. (1994). Insensitivity to future consequences following damage to human prefrontal cortex. Cognition, 50, 7-15. https://pubmed.ncbi.nlm.nih.gov/8039375 https://dx.doi.org/10.1016/0010-0277(94)90018-3 1994-45871-001."	108-114	"Yamamoto, Dorothy J; Reynolds, Jeremy; Krmpotich, Theodore; Banich, Marie T; Thompson, Laetitia; Tanabe, Jody"	English	"substance dependence is associated with impaired decision-making and altered frontostriatal- limbic activity. both greater and lesser brain activity have been reported in drug users compared to controls during decision-making. inconsistent results might be explained by group differences in the temporal profile of the functional magnetic resonance imaging (fmri) response. while most previous studies model a canonical hemodynamic response, a finite impulse response (fir) model measures fmri signal at discrete time points without assuming a temporal profile. we compared brain activity during decision-making and feedback in substance users and controls using two models: a canonical hemodynamic response function (hrf) and a fir model. 37 substance-dependent individuals (sdi) and 43 controls performed event-related decision-making during fmri scanning. brain activity was compared across group using canonical hrf and fir models. compared to controls, sdi were impaired at decision-making. the canonical hrf model showed that sdi had significantly greater fronto-striatal-limbic activity during decisions and less activity during feedback than controls. the fir model confirmed greater activity in sdi during decisions. however, lower activity in sdi during feedback corresponded to a lower post-stimulus undershoot of the hemodynamic response. greater activity in fronto-striatal-limbic pathways in sdi compared to controls is consistent with prior work, further supporting the hypothesis that abnormalities in these circuits underlie impaired decision-making. we demonstrate for the first time using fir analysis that lower activity during feedback may simply reflect the tail end of the hemodynamic response to decision, the post-stimulus undershoot, rather than an actual difference in feedback response."	10.1016/j.drugalcdep.2013.12.024	Decision Making; Functional Magnetic Resonance Imaging; *Striatum; *Drug Dependency; *Temporal Lobe; *Limbic System	"Background: Substance dependence is associated with impaired decision-making and altered frontostriatal- limbic activity. Both greater and lesser brain activity have been reported in drug users compared to controls during decision-making. Inconsistent results might be explained by group differences in the temporal profile of the functional magnetic resonance imaging (fMRI) response. While most previous studies model a canonical hemodynamic response, a finite impulse response (FIR) model measures fMRI signal at discrete time points without assuming a temporal profile. We compared brain activity during decision-making and feedback in substance users and controls using two models: a canonical hemodynamic response function (HRF) and a FIR model. Methods: 37 substance-dependent individuals (SDI) and 43 controls performed event-related decision-making during fMRI scanning. Brain activity was compared across group using canonical HRF and FIR models. Results: Compared to controls, SDI were impaired at decision-making. The canonical HRF model showed that SDI had significantly greater fronto-striatal-limbic activity during decisions and less activity during feedback than controls. The FIR model confirmed greater activity in SDI during decisions. However, lower activity in SDI during feedback corresponded to a lower post-stimulus undershoot of the hemodynamic response. Conclusions: Greater activity in fronto-striatal-limbic pathways in SDI compared to controls is consistent with prior work, further supporting the hypothesis that abnormalities in these circuits underlie impaired decision-making. We demonstrate for the first time using FIR analysis that lower activity during feedback may simply reflect the tail end of the hemodynamic response to decision, the post-stimulus undershoot, rather than an actual difference in feedback response. (PsycInfo Database Record (c) 2021 APA, all rights reserved)"	649	0	1	0	0	4	4	0	0	1	0	3	3	1	1	0	3	1	0	1	1
